gt_source,gt_target,pred_source,pred_target,count
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Vineyards,63
Water,Water,Diffuse built-up area,Orchards and fruit growing,63
Water,Water,Industrial and commercial areas,Orchards and fruit growing,63
Vineyards,Vineyards,Diffuse built-up area,Sunflower,63
Dense built-up area,Dense built-up area,Industrial and commercial areas,Orchards and fruit growing,63
Vineyards,Vineyards,Orchards and fruit growing,Softwood forest,63
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Hardwood forest,62
Roads,Roads,Woody moorlands,Sunflower,62
Roads,Roads,Industrial and commercial areas,Woody moorlands,61
Softwood forest,Softwood forest,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",61
Water,Water,Diffuse built-up area,Woody moorlands,61
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Corn,61
Soy,Soy,Sunflower,Oilseeds (Rapeseed),60
Corn,Corn,Orchards and fruit growing,Industrial and commercial areas,60
Hardwood forest,Hardwood forest,Orchards and fruit growing,Oilseeds (Rapeseed),59
Water,Water,Woody moorlands,Sunflower,59
Hardwood forest,Hardwood forest,Diffuse built-up area,Woody moorlands,58
Hardwood forest,Hardwood forest,Hardwood forest,Sunflower,58
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",58
Diffuse built-up area,Diffuse built-up area,Softwood forest,Industrial and commercial areas,58
Industrial and commercial areas,Industrial and commercial areas,Water,Orchards and fruit growing,57
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Hardwood forest,57
Softwood forest,Softwood forest,Softwood forest,Sunflower,57
Vineyards,Vineyards,Sunflower,Oilseeds (Rapeseed),57
Natural grasslands and pastures,Natural grasslands and pastures,Corn,Natural grasslands and pastures,56
Diffuse built-up area,Diffuse built-up area,Roads,Diffuse built-up area,56
Water,Water,Water,Sunflower,56
Water,Water,Sunflower,Diffuse built-up area,55
Woody moorlands,Woody moorlands,Oilseeds (Rapeseed),Woody moorlands,55
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Corn,55
Hardwood forest,Hardwood forest,Sunflower,Vineyards,54
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",54
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,54
Woody moorlands,Woody moorlands,Woody moorlands,Diffuse built-up area,54
Water,Water,Sunflower,Woody moorlands,53
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Hardwood forest,53
Woody moorlands,Woody moorlands,Natural grasslands and pastures,Softwood forest,53
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Corn,53
Soy,Soy,Soy,Hardwood forest,52
Water,Water,Soy,Corn,52
Roads,Roads,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",52
Dense built-up area,Dense built-up area,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",52
Hardwood forest,Hardwood forest,Woody moorlands,Industrial and commercial areas,52
Water,Water,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",51
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Vineyards,50
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Sunflower,50
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Oilseeds (Rapeseed),49
Vineyards,Vineyards,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",48
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,48
Vineyards,Vineyards,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",48
Woody moorlands,Woody moorlands,Water,Industrial and commercial areas,48
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Soy,47
Diffuse built-up area,Diffuse built-up area,Softwood forest,Diffuse built-up area,47
Soy,Soy,Sunflower,Industrial and commercial areas,47
Water,Water,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",46
Woody moorlands,Woody moorlands,Sunflower,Diffuse built-up area,46
Woody moorlands,Woody moorlands,Natural grasslands and pastures,Industrial and commercial areas,46
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Softwood forest,46
Water,Water,Woody moorlands,Orchards and fruit growing,45
Vineyards,Vineyards,Vineyards,Softwood forest,45
Hardwood forest,Hardwood forest,Orchards and fruit growing,Diffuse built-up area,44
Dense built-up area,Dense built-up area,Woody moorlands,Industrial and commercial areas,44
Vineyards,Vineyards,Industrial and commercial areas,Diffuse built-up area,44
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Sunflower,43
Vineyards,Vineyards,Softwood forest,Woody moorlands,43
Hardwood forest,Hardwood forest,Protein crops (Beans / Peas),Sunflower,43
Hardwood forest,Hardwood forest,Sunflower,Woody moorlands,43
Diffuse built-up area,Diffuse built-up area,Woody moorlands,Diffuse built-up area,43
Woody moorlands,Woody moorlands,Industrial and commercial areas,Sunflower,43
Roads,Roads,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",43
Roads,Roads,Industrial and commercial areas,Orchards and fruit growing,42
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),42
Industrial and commercial areas,Industrial and commercial areas,Soy,"Straw cereals (Wheat, Triticale, Barley)",42
Softwood forest,Softwood forest,Sunflower,Orchards and fruit growing,42
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Sunflower,41
Vineyards,Vineyards,Industrial and commercial areas,Oilseeds (Rapeseed),41
Hardwood forest,Hardwood forest,Diffuse built-up area,Orchards and fruit growing,41
Softwood forest,Softwood forest,Industrial and commercial areas,Diffuse built-up area,41
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Corn,41
Soy,Soy,Industrial and commercial areas,Sunflower,41
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,41
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Corn,40
Corn,Corn,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,40
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,Industrial and commercial areas,40
Water,Water,Orchards and fruit growing,Diffuse built-up area,40
Softwood forest,Softwood forest,Softwood forest,Vineyards,40
Natural grasslands and pastures,Natural grasslands and pastures,Natural grasslands and pastures,Corn,39
Dense built-up area,Dense built-up area,Diffuse built-up area,Orchards and fruit growing,39
Vineyards,Vineyards,Diffuse built-up area,Hardwood forest,39
Water,Water,Softwood forest,Orchards and fruit growing,39
Hardwood forest,Hardwood forest,Hardwood forest,Orchards and fruit growing,39
Water,Water,Corn,Water,39
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Sunflower,39
Dense built-up area,Dense built-up area,Oilseeds (Rapeseed),Industrial and commercial areas,39
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Soy,39
Dense built-up area,Dense built-up area,Softwood forest,Industrial and commercial areas,38
Woody moorlands,Woody moorlands,Woody moorlands,Sunflower,38
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Dense built-up area,38
Woody moorlands,Woody moorlands,Oilseeds (Rapeseed),Orchards and fruit growing,38
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Hardwood forest,38
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Sunflower,38
Industrial and commercial areas,Industrial and commercial areas,Water,Woody moorlands,38
Vineyards,Vineyards,Sunflower,Diffuse built-up area,37
Soy,Soy,Woody moorlands,Soy,37
Woody moorlands,Woody moorlands,Water,Sunflower,37
Sunflower,Sunflower,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",37
Softwood forest,Softwood forest,Woody moorlands,Orchards and fruit growing,36
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Soy,36
Softwood forest,Softwood forest,Sunflower,Hardwood forest,36
Softwood forest,Softwood forest,Softwood forest,Corn,36
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,35
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Corn,35
Orchards and fruit growing,Orchards and fruit growing,Water,Woody moorlands,35
Water,Water,Industrial and commercial areas,Diffuse built-up area,35
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Water,35
Natural grasslands and pastures,Natural grasslands and pastures,Industrial and commercial areas,Woody moorlands,35
Sunflower,Sunflower,Orchards and fruit growing,Oilseeds (Rapeseed),34
Woody moorlands,Woody moorlands,Vineyards,Industrial and commercial areas,34
Vineyards,Vineyards,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",34
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Corn,34
Sunflower,Sunflower,Water,Sunflower,34
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Hardwood forest,34
Vineyards,Vineyards,Industrial and commercial areas,Hardwood forest,34
Roads,Roads,Water,Roads,33
Dense built-up area,Dense built-up area,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",33
Softwood forest,Softwood forest,Natural grasslands and pastures,Industrial and commercial areas,33
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Diffuse built-up area,33
Woody moorlands,Woody moorlands,Hardwood forest,Woody moorlands,33
Industrial and commercial areas,Industrial and commercial areas,Corn,Diffuse built-up area,33
Soy,Soy,Soy,Oilseeds (Rapeseed),33
Dense built-up area,Dense built-up area,Sunflower,Orchards and fruit growing,32
Vineyards,Vineyards,Hardwood forest,Orchards and fruit growing,32
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Woody moorlands,32
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Softwood forest,31
Roads,Roads,Oilseeds (Rapeseed),Roads,31
Woody moorlands,Woody moorlands,Roads,Industrial and commercial areas,31
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Soy,31
Vineyards,Vineyards,Industrial and commercial areas,Woody moorlands,31
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Corn,30
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Sunflower,30
Woody moorlands,Woody moorlands,Diffuse built-up area,Sunflower,29
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Vineyards,29
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Hardwood forest,29
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Soy,29
Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,Industrial and commercial areas,29
Hardwood forest,Hardwood forest,Protein crops (Beans / Peas),Industrial and commercial areas,29
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Woody moorlands,29
Diffuse built-up area,Diffuse built-up area,Corn,Diffuse built-up area,29
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,28
Dense built-up area,Dense built-up area,Roads,Dense built-up area,28
Diffuse built-up area,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,28
Hardwood forest,Hardwood forest,Industrial and commercial areas,Orchards and fruit growing,28
Industrial and commercial areas,Industrial and commercial areas,Soy,Sunflower,28
Water,Water,Diffuse built-up area,Sunflower,28
Orchards and fruit growing,Orchards and fruit growing,Soy,Industrial and commercial areas,28
Corn,Corn,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",28
Roads,Roads,Orchards and fruit growing,Sunflower,27
Woody moorlands,Woody moorlands,Industrial and commercial areas,Softwood forest,27
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,27
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,27
Roads,Roads,Roads,Diffuse built-up area,27
Soy,Soy,Vineyards,Soy,26
Softwood forest,Softwood forest,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",26
Roads,Roads,Vineyards,Sunflower,26
Orchards and fruit growing,Orchards and fruit growing,Hardwood forest,Orchards and fruit growing,26
Orchards and fruit growing,Orchards and fruit growing,Water,Sunflower,26
Softwood forest,Softwood forest,Industrial and commercial areas,Orchards and fruit growing,25
Water,Water,Orchards and fruit growing,Hardwood forest,25
Softwood forest,Softwood forest,Orchards and fruit growing,Water,25
Dense built-up area,Dense built-up area,Vineyards,Diffuse built-up area,25
Orchards and fruit growing,Orchards and fruit growing,Soy,Sunflower,25
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",25
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Woody moorlands,24
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Woody moorlands,24
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Natural grasslands and pastures,24
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Roads,24
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),Diffuse built-up area,24
Vineyards,Vineyards,Sunflower,Corn,24
Vineyards,Vineyards,Orchards and fruit growing,Corn,24
Hardwood forest,Hardwood forest,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",24
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Protein crops (Beans / Peas),24
Hardwood forest,Hardwood forest,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",24
Vineyards,Vineyards,Vineyards,Diffuse built-up area,24
Corn,Corn,Diffuse built-up area,Sunflower,24
Industrial and commercial areas,Industrial and commercial areas,Soy,Orchards and fruit growing,23
Sunflower,Sunflower,Sunflower,Industrial and commercial areas,23
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",23
Roads,Roads,Softwood forest,Vineyards,23
Industrial and commercial areas,Industrial and commercial areas,Natural grasslands and pastures,Woody moorlands,23
Industrial and commercial areas,Industrial and commercial areas,Hardwood forest,Orchards and fruit growing,23
Vineyards,Vineyards,Roads,Vineyards,23
Softwood forest,Softwood forest,Sunflower,Soy,23
Roads,Roads,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",22
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Roads,22
Corn,Corn,Sunflower,Oilseeds (Rapeseed),22
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Corn,22
Water,Water,Industrial and commercial areas,Sunflower,22
Softwood forest,Softwood forest,Woody moorlands,Diffuse built-up area,22
Hardwood forest,Hardwood forest,Sunflower,Water,22
Woody moorlands,Woody moorlands,Roads,Woody moorlands,22
Diffuse built-up area,Diffuse built-up area,Woody moorlands,Industrial and commercial areas,22
Vineyards,Vineyards,Water,Woody moorlands,22
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Oilseeds (Rapeseed),22
Softwood forest,Softwood forest,Orchards and fruit growing,Hardwood forest,21
Softwood forest,Softwood forest,Industrial and commercial areas,Woody moorlands,21
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",21
Water,Water,Woody moorlands,Diffuse built-up area,21
Industrial and commercial areas,Industrial and commercial areas,Natural grasslands and pastures,Softwood forest,21
Roads,Roads,Natural grasslands and pastures,Industrial and commercial areas,21
Woody moorlands,Woody moorlands,Sunflower,Softwood forest,21
Softwood forest,Softwood forest,Diffuse built-up area,Industrial and commercial areas,21
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Soy,21
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Water,20
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,20
Dense built-up area,Dense built-up area,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",20
Woody moorlands,Woody moorlands,Water,Diffuse built-up area,20
Water,Water,Natural grasslands and pastures,Water,20
Industrial and commercial areas,Industrial and commercial areas,Water,Sunflower,20
Soy,Soy,Diffuse built-up area,Sunflower,20
Orchards and fruit growing,Orchards and fruit growing,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",20
Softwood forest,Softwood forest,Vineyards,Industrial and commercial areas,20
Vineyards,Vineyards,Hardwood forest,Industrial and commercial areas,20
Water,Water,Orchards and fruit growing,Soy,20
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",20
Orchards and fruit growing,Orchards and fruit growing,Natural grasslands and pastures,Softwood forest,20
Softwood forest,Softwood forest,Diffuse built-up area,Sunflower,20
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Diffuse built-up area,20
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,20
Softwood forest,Softwood forest,Water,Orchards and fruit growing,19
Vineyards,Vineyards,Soy,Sunflower,19
Soy,Soy,Sunflower,Diffuse built-up area,19
Corn,Corn,Corn,Industrial and commercial areas,19
Dense built-up area,Dense built-up area,Corn,Diffuse built-up area,19
Softwood forest,Softwood forest,Sunflower,Industrial and commercial areas,19
Corn,Corn,Corn,Oilseeds (Rapeseed),19
Woody moorlands,Woody moorlands,Industrial and commercial areas,Vineyards,19
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),19
Hardwood forest,Hardwood forest,Oilseeds (Rapeseed),Sunflower,19
Softwood forest,Softwood forest,Water,Woody moorlands,19
Softwood forest,Softwood forest,Orchards and fruit growing,Soy,19
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",19
Softwood forest,Softwood forest,Softwood forest,Soy,19
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),Orchards and fruit growing,18
Water,Water,Water,Soy,18
Roads,Roads,Softwood forest,Sunflower,18
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Softwood forest,18
Natural grasslands and pastures,Natural grasslands and pastures,Roads,Natural grasslands and pastures,18
Roads,Roads,Woody moorlands,Vineyards,18
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,18
Vineyards,Vineyards,Corn,"Straw cereals (Wheat, Triticale, Barley)",18
Roads,Roads,Sunflower,Corn,18
Industrial and commercial areas,Industrial and commercial areas,Protein crops (Beans / Peas),Industrial and commercial areas,18
Dense built-up area,Dense built-up area,Oilseeds (Rapeseed),Diffuse built-up area,18
Sunflower,Sunflower,Orchards and fruit growing,Industrial and commercial areas,17
Sunflower,Sunflower,Orchards and fruit growing,Soy,17
Vineyards,Vineyards,Woody moorlands,Orchards and fruit growing,17
Water,Water,Grasslands,Industrial and commercial areas,17
Vineyards,Vineyards,Water,Industrial and commercial areas,17
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Roads,17
Dense built-up area,Dense built-up area,Natural grasslands and pastures,Industrial and commercial areas,17
Hardwood forest,Hardwood forest,Industrial and commercial areas,Vineyards,17
Softwood forest,Softwood forest,Vineyards,Orchards and fruit growing,17
Industrial and commercial areas,Industrial and commercial areas,Roads,Diffuse built-up area,17
Woody moorlands,Woody moorlands,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",17
Woody moorlands,Woody moorlands,Softwood forest,Diffuse built-up area,17
Water,Water,Softwood forest,Vineyards,17
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,Woody moorlands,17
Industrial and commercial areas,Industrial and commercial areas,Water,Vineyards,17
Dense built-up area,Dense built-up area,Diffuse built-up area,Roads,16
Woody moorlands,Woody moorlands,Sunflower,Oilseeds (Rapeseed),16
Softwood forest,Softwood forest,Orchards and fruit growing,Vineyards,16
Soy,Soy,Softwood forest,Soy,16
Woody moorlands,Woody moorlands,Oilseeds (Rapeseed),Sunflower,16
Vineyards,Vineyards,Woody moorlands,Sunflower,16
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Protein crops (Beans / Peas),Oilseeds (Rapeseed),16
Vineyards,Vineyards,Orchards and fruit growing,Soy,16
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Soy,16
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Grasslands,16
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Diffuse built-up area,16
Softwood forest,Softwood forest,Soy,Diffuse built-up area,16
Roads,Roads,Vineyards,Orchards and fruit growing,16
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Diffuse built-up area,16
Vineyards,Vineyards,Corn,Soy,16
Water,Water,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",16
Corn,Corn,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",15
Woody moorlands,Woody moorlands,Industrial and commercial areas,Natural grasslands and pastures,15
Woody moorlands,Woody moorlands,Industrial and commercial areas,Roads,15
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Sunflower,15
Softwood forest,Softwood forest,Industrial and commercial areas,Vineyards,15
Softwood forest,Softwood forest,Woody moorlands,Hardwood forest,15
Woody moorlands,Woody moorlands,Vineyards,Orchards and fruit growing,15
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Oilseeds (Rapeseed),15
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Vineyards,15
Woody moorlands,Woody moorlands,Softwood forest,Natural grasslands and pastures,15
Sunflower,Sunflower,Sunflower,Corn,15
Dense built-up area,Dense built-up area,Diffuse built-up area,Oilseeds (Rapeseed),14
Softwood forest,Softwood forest,Industrial and commercial areas,Sunflower,14
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Water,14
Hardwood forest,Hardwood forest,Industrial and commercial areas,Oilseeds (Rapeseed),14
Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,Vineyards,14
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Softwood forest,14
Water,Water,Corn,"Straw cereals (Wheat, Triticale, Barley)",14
Natural grasslands and pastures,Natural grasslands and pastures,Water,Sunflower,14
Hardwood forest,Hardwood forest,Soy,Corn,14
Softwood forest,Softwood forest,Orchards and fruit growing,Sunflower,14
Softwood forest,Softwood forest,Woody moorlands,Sunflower,14
Natural grasslands and pastures,Natural grasslands and pastures,Industrial and commercial areas,Diffuse built-up area,14
Vineyards,Vineyards,Woody moorlands,Softwood forest,14
Sunflower,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",Corn,14
Soy,Soy,Corn,"Straw cereals (Wheat, Triticale, Barley)",14
Roads,Roads,Woody moorlands,Diffuse built-up area,14
Vineyards,Vineyards,Vineyards,Hardwood forest,14
Roads,Roads,Water,Industrial and commercial areas,14
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Corn,14
Woody moorlands,Woody moorlands,Vineyards,Sunflower,14
Water,Water,Orchards and fruit growing,Corn,14
Water,Water,Water,Industrial and commercial areas,13
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Water,13
Woody moorlands,Woody moorlands,Woody moorlands,Vineyards,13
Softwood forest,Softwood forest,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",13
Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,Softwood forest,13
Roads,Roads,Industrial and commercial areas,Vineyards,13
Dense built-up area,Dense built-up area,Sunflower,Oilseeds (Rapeseed),13
Vineyards,Vineyards,Orchards and fruit growing,Diffuse built-up area,13
Hardwood forest,Hardwood forest,Roads,Hardwood forest,13
Hardwood forest,Hardwood forest,Oilseeds (Rapeseed),Industrial and commercial areas,13
Water,Water,Oilseeds (Rapeseed),Water,13
Softwood forest,Softwood forest,Sunflower,Corn,13
Woody moorlands,Woody moorlands,Woody moorlands,Natural grasslands and pastures,13
Hardwood forest,Hardwood forest,Vineyards,Woody moorlands,13
Orchards and fruit growing,Orchards and fruit growing,Soy,Vineyards,13
Soy,Soy,Soy,Orchards and fruit growing,13
Softwood forest,Softwood forest,Woody moorlands,Soy,13
Roads,Roads,Woody moorlands,Softwood forest,13
Vineyards,Vineyards,Softwood forest,Water,13
Softwood forest,Softwood forest,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",13
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Natural grasslands and pastures,13
Water,Water,Sunflower,Softwood forest,13
Sunflower,Sunflower,Vineyards,Sunflower,13
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),13
Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,Water,12
Sunflower,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),12
Woody moorlands,Woody moorlands,Softwood forest,Sunflower,12
Dense built-up area,Dense built-up area,Orchards and fruit growing,Sunflower,12
Hardwood forest,Hardwood forest,Water,Orchards and fruit growing,12
Industrial and commercial areas,Industrial and commercial areas,Soy,Diffuse built-up area,12
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",12
Sunflower,Sunflower,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",12
Natural grasslands and pastures,Natural grasslands and pastures,Industrial and commercial areas,Softwood forest,12
Dense built-up area,Dense built-up area,Orchards and fruit growing,Oilseeds (Rapeseed),12
Dense built-up area,Dense built-up area,Hardwood forest,Industrial and commercial areas,12
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Soy,12
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Protein crops (Beans / Peas),12
Softwood forest,Softwood forest,Softwood forest,Natural grasslands and pastures,12
Soy,Soy,Vineyards,Hardwood forest,12
Water,Water,Vineyards,Softwood forest,12
Industrial and commercial areas,Industrial and commercial areas,Corn,Sunflower,12
Soy,Soy,Sunflower,Hardwood forest,12
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Vineyards,12
Hardwood forest,Hardwood forest,Water,Industrial and commercial areas,12
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",11
Orchards and fruit growing,Orchards and fruit growing,Soy,"Straw cereals (Wheat, Triticale, Barley)",11
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),Corn,11
Soy,Soy,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),11
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",11
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Grasslands,11
Softwood forest,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",Corn,11
Water,Water,Softwood forest,Sunflower,11
Diffuse built-up area,Diffuse built-up area,Oilseeds (Rapeseed),Diffuse built-up area,11
Roads,Roads,Industrial and commercial areas,Corn,11
Hardwood forest,Hardwood forest,Woody moorlands,Sunflower,11
Softwood forest,Softwood forest,Softwood forest,Hardwood forest,11
Hardwood forest,Hardwood forest,Orchards and fruit growing,Woody moorlands,11
Roads,Roads,Soy,Industrial and commercial areas,11
Orchards and fruit growing,Orchards and fruit growing,Grasslands,Sunflower,11
Woody moorlands,Woody moorlands,Industrial and commercial areas,Oilseeds (Rapeseed),11
Vineyards,Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",11
Woody moorlands,Woody moorlands,Soy,Woody moorlands,11
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Water,11
Softwood forest,Softwood forest,Diffuse built-up area,Woody moorlands,11
Roads,Roads,Orchards and fruit growing,Diffuse built-up area,11
